Text ID	English	German	French	Spanish	Russian	Polish						
												
Text.GDC.IntroCutscene.01	Testing 1 2 3											
												
Text.Quest.CraftTitle	The Crafty Con!											
Text.Quest.CraftObjective	Craft a fierce weapon known as the 'Sock Mace'.											
Text.Quest.CraftDescription	"""There you are squire! I was beginning to think you'd run out on me… If you were to do that I'd remove your legs, pixel by pixel.\n\nRight, heh… I want you to piece me together a weapon… Using the Soap and the Sock - craft me it up... Or else… Use the map locations as reference to see where you need to be. Fancy it?"""											
												
Text.Quest.PlantTitle	You Dirty Rat!											
Text.Quest.PlantObjective	Plant the $ItemToGet in their desk.											
Text.Quest.PlantDescription	"""Hey chummy…Yeah you!\n\nListen, one of the cons has been shooting their mouth off again about me and I want you to send a message to run the chills down their pixelated spine. You *WILL* do this for me!\n\nOf course, I will reward you handsomely. I've marked the location on your map! That is if you wanna do this for me?"""											
												
Text.Quest.CombatTitle	Rough Justice!											
Text.Quest.CombatItemDesc	Take the $ItemToGet											
Text.Quest.CombatObjective	Attack and knock unconscious inmate $CombatTarget											
Text.Quest.CombatDescription	"""So far you haven't let me down so you're doing good - well... Not bad!\n $CombatTarget keeps pouring nonsense out of their talking hole and I'm getting sick of it!\n\nTake back your Sock Mace and use it on that punk!\n\nDon't let me down, you know how dangerous I can be... In a cutesy pixelated way that is... If you wanna do this that is? VAMOOSE!"""											
												
Text.Quest.FloodTitle	Open The Floodgates!											
Text.Quest.FloodObjective	Put the item in $FloodTarget 's toilet to flood it.											
Text.Quest.FloodDescription	"""You're enjoying this ain't ya? You're doing pretty good.\nAnyway, that's enough of me being nice - on to business. I want that pixel-punk upset and rattled at just what we, errr I mean I, I mean what I can do… heh.\n\nRIGHT, take this, and jam it down $FloodTarget 's toilet and make a proper mess of their cell. If you're gonna do this, remember to check your map to see where you need to go!"""											
Text.Quest.FloodItem.Desc	Take the $ItemToGet											
												
Text.Quest.RedKeyTitle	Dirty Cash!											
Text.Quest.RedKeyObjective	Obtain the Plastic Red Key											
Text.Quest.RedKeyDescription	"""You sure you ain't done this before? You're turning out to be quite the 'BIG CON' around here ain't ya?\n\nI've spoken to one of my associates and they're willing to give you a reward, *very* nice indeed!\n\nThat is, if you fancy collecting it?"""											
Text.Quest.RedKeyObjectiveA	Access the Roof using the Plastic Red Key											
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
END												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
