Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
Text.Item.AdrenalineShot	Adrenaline Shot	Adrenalinschuss	Dose d'adrénaline	Adrenalina	Заряд адреналина	Adrenalina	肾上腺素针	強心剤			
Text.Item.Aftershave	Bottle of Aftershave	Aftershave	Bouteille d'après-rasage	Loción para después del afeitado	Лосьон после бритья	Bottiglia di dopobarba	一瓶须后水	シェーブローション			
Text.Item.OldBox	Old Box	Alte Schachtel	Vieille boîte	Caja vieja	Коробка	Vecchia scatola	旧盒子	古い箱			
Text.Item.Foil	Roll of Foil	Alufolie	Rouleau d'aluminium	Papel de aluminio	Рулон фольги	Rotolo di alluminio	一卷锡箔纸	アルミホイル			
Text.Item.BalsaWood	Balsa Wood	Balsaholz	Balsa	Madera de balsa	Пробк. дерево	Legno di balsa	轻木	バルサ材			
Text.Item.MedicalMesh	Medical Mesh	Bandage	Gaze	Venda médica	Мед. сетка	Benda medica	医用绷带	医療用メッシュ			
Text.Item.Baseball	Baseball	Baseball	Balle de base-ball	Pelota de béisbol	Бейсбол	Palla da baseball	棒球	ボール			
Text.Item.BaseballMitt	Baseball Mitt	Baseballhandschuh	Gant de base-ball	Guante de béisbol	Бейсб. перчатка	Guanto da baseball	棒球手套	グローブ			
Text.Item.Battery	Battery	Batterie	Pile	Pila	Батарейка	Batteria	电池	乾電池			
Text.Item.Mug	Mug	Becher	Mug	Taza	Кружка	Tazza	马克杯	マグカップ			
Text.Item.PaintedBox	Painted Box	Bemalte Schachtel	Boîte peinte	Caja pintada	Цвет. коробка	Scatola dipinta	上了漆的盒子	塗装した箱			
Text.Item.Broom	Broom	Besen	Balai	Escoba	Метла	Scopa	扫帚	ホウキ			
Text.Item.BroomHandle	Broom Handle	Besenstil	Manche à balai	Palo de escoba	Ручка от метлы	Manico di scopa	扫帚柄	ホウキの柄			
Text.Item.BedSheet	Bed Sheet	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Sheet	Bed Sheet	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Paper	Sheet of Paper	Blatt Papier	Feuille de papier	Folio	Лист бумаги	Foglio di carta	纸张	紙きれ			
Text.Item.SheetOfMetal	Sheet of Metal	Blech	Plaque de métal	Lámina de metal	Метал. пластина	Lastra di metallo	金属板	金属板			
Text.Item.Bleach	Tub of Bleach	Bleichmittel	Bac d'eau de Javel	Bote de lejía	Отбеливатель	Flacone di candeggina	一盆漂白剂	漂白剤			
Text.Item.Bolts	Bolts	Bolzen	Boulons	Tornillos	Болты	Bulloni	螺栓	ボルト			
