Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
Text.Item.AdrenalineShot	Доза адреналіну	Adrenalinschuss	Dose d'adrénaline	Adrenalina	Заряд адреналина	Adrenalina	肾上腺素针	強心剤			
Text.Item.Aftershave	Крем після бриття	Aftershave	Bouteille d'après-rasage	Loción para después del afeitado	Лосьон после бритья	Bottiglia di dopobarba	一瓶须后水	シェーブローション			
Text.Item.OldBox	Стара коробочка	Alte Schachtel	Vieille boîte	Caja vieja	Коробка	Vecchia scatola	旧盒子	古い箱			
Text.Item.Foil	Рулон фолії	Alufolie	Rouleau d'aluminium	Papel de aluminio	Рулон фольги	Rotolo di alluminio	一卷锡箔纸	アルミホイル			
Text.Item.BalsaWood	Бальсова деревина	Balsaholz	Balsa	Madera de balsa	Пробк. дерево	Legno di balsa	轻木	バルサ材			
Text.Item.MedicalMesh	Медична сітка	Bandage	Gaze	Venda médica	Мед. сетка	Benda medica	医用绷带	医療用メッシュ			
Text.Item.Baseball	М’ячик	Baseball	Balle de base-ball	Pelota de béisbol	Бейсбол	Palla da baseball	棒球	ボール			
Text.Item.BaseballMitt	Бейсбольна рукавичка	Baseballhandschuh	Gant de base-ball	Guante de béisbol	Бейсб. перчатка	Guanto da baseball	棒球手套	グローブ			
Text.Item.Battery	Батарейка	Batterie	Pile	Pila	Батарейка	Batteria	电池	乾電池			
Text.Item.Mug	Чашка	Becher	Mug	Taza	Кружка	Tazza	马克杯	マグカップ			
Text.Item.PaintedBox	Розписана скринька	Bemalte Schachtel	Boîte peinte	Caja pintada	Цвет. коробка	Scatola dipinta	上了漆的盒子	塗装した箱			
Text.Item.Broom	Мітла	Besen	Balai	Escoba	Метла	Scopa	扫帚	ホウキ			
Text.Item.BroomHandle	Мітлище	Besenstil	Manche à balai	Palo de escoba	Ручка от метлы	Manico di scopa	扫帚柄	ホウキの柄			
Text.Item.BedSheet	Простирало	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Sheet	Простирало	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Paper	Аркуш паперу	Blatt Papier	Feuille de papier	Folio	Лист бумаги	Foglio di carta	纸张	紙きれ			
Text.Item.SheetOfMetal	Лист металу	Blech	Plaque de métal	Lámina de metal	Метал. пластина	Lastra di metallo	金属板	金属板			
Text.Item.Bleach	Відбілювач	Bleichmittel	Bac d'eau de Javel	Bote de lejía	Отбеливатель	Flacone di candeggina	一盆漂白剂	漂白剤			
Text.Item.Bolts	Прогонич	Bolzen	Boulons	Tornillos	Болты	Bulloni	螺栓	ボルト			
Text.Item.Bongos	Бонґо	Bongos	Bongo	Bongos	Бонго	Bongo	邦戈鼓	ボンゴ			
Text.Item.Crowbar	Лапка	Brecheisen	Pied-de-biche	Palanca	Ломик	Piede di porco	撬棍	バール			
Text.Item.Letter	Лист	Brief	Lettre	Carta	Письмо	Lettera	信件	手紙			
Text.Item.Book	Книжка	Buch	Livre	Libro	Книга	Libro	书本	本			
Text.Item.PaperClip	Спинач	Büroklammer	Trombone	Clip	Скрепка	Graffetta	回形针	クリップ			
Text.Item.TinOfPaint	Банка фарби	Döschen mit Farbe	Pot de peinture	Lata de pintura	Баночка краски	Barattolo di tinta	罐装油漆	ペンキ缶			
Text.Item.Soda	Газованка	Dosenlimonade	Canette de soda	Lata de soda	Банка содовой	Lattina di bibita gassata	罐装苏打水	ソーダ缶			
Text.Item.Wire	Дріт	Draht	Câble	Cable	Провод	Filo	电线	銅線			
Text.Item.Dowel	Шкант	Dübel	Goujon	Clavija	Штырь	Tassello	木钉	ダボ			
Text.Item.IcePack	Упакована крига	Eisbeutel	Pain de glace	Bolsa de hielo	Пакет льда	Sacchetto di ghiaccio	冰袋	アイスパック			
Text.Item.IronBar	Залізний стрижень	Eisenstange	Barre de fer	Barra de hierro	Желез. прут	Barra di ferro	铁棒	鉄パイプ			
Text.Item.Stungun	Eлектрошокер	Elektroschocker	Pistolet tranquillisant	Pistola eléctrica	Шокер	Storditore	电击枪	スタンガン			
Text.Item.EnergyDrink	Енерготонік	Energy Drink	Boisson énergisante	Bebida energética	Энергетик	Bevanda energetica	能量饮料	エナジードリンク			
Text.Item.Dirt	Багнюка	Erde	Saleté	Tierra	Грязь	Terra	污泥	泥			
Text.Item.Soil	Земля	Erde	Terre	Tierra	Земля	Terreno	土壤	土			
Text.Item.HandFan	Віяло	Fächer	Éventail	Abanico	Ручной фен	Ventaglio	扇子	せんす			
